iter	Passed	Remaining
779	3798	1071
780	3800	1065
781	3804	1060
782	3809	1055
783	3814	1050
784	3819	1046
785	3823	1040
786	3828	1036
787	3831	1030
788	3834	1025
789	3839	1020
790	3844	1015
791	3848	1010
792	3852	1005
793	3855	1000
794	3859	995
795	3863	990
796	3868	985
797	3875	980
798	3882	976
799	3887	971
800	3890	966
801	3907	964
802	3917	960
803	3920	955
804	3922	950
805	3929	945
806	3935	941
807	3939	936
808	3946	931
809	3954	927
810	3976	926
811	4035	934
812	4046	930
813	4053	926
814	4059	921
815	4100	924
816	4115	921
817	4122	917
818	4127	912
819	4137	908
820	4145	903
821	4171	903
822	4213	906
823	4227	903
824	4239	899
825	4248	895
826	4266	892
827	4289	891
828	4307	888
829	4330	886
830	4338	882
831	4347	877
832	4358	873
833	4365	868
834	4386	866
835	4402	863
836	4410	858
837	4419	854
838	4429	849
839	4432	844
840	4449	841
841	4458	836
842	4472	832
843	4511	833
844	4529	830
845	4545	827
846	4551	822
847	4555	816
848	4560	811
849	4564	805
850	4569	799
851	4574	794
852	4577	788
853	4580	783
854	4581	777
855	4583	771
856	4588	765
857	4594	760
858	4601	755
859	4605	749
860	4606	743
861	4608	737
862	4614	732
863	4619	727
864	4624	721
865	4642	718
866	4653	713
867	4656	708
868	4658	702
869	4666	697
870	4706	696
871	4717	692
872	4744	690
873	4756	685
874	4790	684
875	4800	679
876	4811	674
877	4817	669
878	4824	664
879	4830	658
880	4841	653
881	4854	649
882	4857	643
883	4862	638
884	4866	632
885	4872	626
886	4876	621
887	4881	615
888	4891	610
889	4896	605
890	4903	599
891	4909	594
892	4913	588
893	4917	583
894	4921	577
895	4927	571
896	4930	566
897	4940	561
898	4947	555
899	4956	550
900	4962	545
901	4969	539
902	4973	534
903	4977	528
904	4981	522
905	4985	517
906	4989	511
907	4994	506
908	5001	500
909	5009	495
910	5014	489
911	5018	484
912	5021	478
913	5024	472
914	5029	467
915	5034	461
916	5038	456
917	5043	450
918	5047	444
919	5050	439
920	5054	433
921	5059	428
922	5064	422
923	5069	416
924	5073	411
925	5076	405
926	5079	400
927	5083	394
928	5091	389
929	5101	384
930	5109	378
931	5111	372
932	5114	367
933	5134	362
934	5140	357
935	5146	351
936	5148	346
937	5151	340
938	5289	343
939	5295	337
940	5301	332
941	5306	326
942	5375	324
943	5429	322
944	5433	316
945	5437	310
946	5441	304
947	5444	298
948	5448	292
949	5451	286
950	5455	281
951	5458	275
952	5461	269
953	5465	263
954	5469	257
955	5473	251
956	5476	246
957	5480	240
958	5483	234
959	5487	228
960	5491	222
961	5495	217
962	5499	211
963	5726	213
964	5744	208
965	5817	204
966	5834	199
967	5839	193
968	5843	186
969	5849	180
970	5853	174
971	5857	168
972	5860	162
973	5863	156
974	5866	150
975	5869	144
976	5873	138
977	5876	132
978	5882	126
979	5888	120
980	5893	114
981	5900	108
982	5904	102
983	5907	96
984	5911	90
985	5914	83
986	5918	77
987	5921	71
988	5925	65
989	5928	59
990	5933	53
991	5936	47
992	5939	41
993	5943	35
994	5946	29
995	5949	23
996	5952	17
997	5955	11
998	5960	5
999	5971	0
